C	target_system	training_systems
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
1	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
10	Eawag_XBridgeC18	LIFE_old
